Sl. No.,Category,Botanical Name,Common Name,Cost per Hectare (2020-21)
1,Plants Eligible for 30% Subsidy,Abrus precatorius Linn.,"Chinnoti, Gudumani",80336.99
2,Plants Eligible for 30% Subsidy,Acorus calamus Linn.,Vach,109393.89
3,Plants Eligible for 30% Subsidy,Adhatoda zeylanica Medicus,Adusa,31154.66
4,Plants Eligible for 30% Subsidy,Aloe vera (Linn.) Burn.,Ghritkumari,74387.85
5,Plants Eligible for 30% Subsidy,Alpinia calcarata Rosc.,Smaller Galangal,99065.66
6,Plants Eligible for 30% Subsidy,Alpinia galanga Wild.,Greater Galanga,85446.57
7,Plants Eligible for 30% Subsidy,Andrographis paniculata (Linn.) Burn,Kalmegh,43757.55
8,Plants Eligible for 30% Subsidy,Artemisia annua (Linn.),Artemisia,58269.87
9,Plants Eligible for 30% Subsidy,Asparagus racemosus Willd.,Shatavari,109393.89
10,Plants Eligible for 30% Subsidy,Azadirachta indica A. Juss,Neem,65636.34
11,Plants Eligible for 30% Subsidy,Bacopa monnieri (L.) Pennell,Brahmi,70012.09
12,Plants Eligible for 30% Subsidy,Bergenia ciliata Stern.,Pashnabheda,119769.13
13,Plants Eligible for 30% Subsidy,Boerhaavia diffusa Linn.,Punarnava,52509.06
14,Plants Eligible for 30% Subsidy,Cassia angustifolia Vahl.,Senna,43757.55
15,Plants Eligible for 30% Subsidy,Caesalpinia sappan Linn.,Patang,93727.95
16,Plants Eligible for 30% Subsidy,Catharanthus roseusLinn.,Sadabahar,43757.55
17,Plants Eligible for 30% Subsidy,Celastrus paniculatusWild,"Malkangani, Jyothismathi, ",38853.82
18,Plants Eligible for 30% Subsidy,Centella asiatica (Linn.) Urban,Mandookparni,70012.09
19,Plants Eligible for 30% Subsidy,Chlorophytum borivillianum Sant.,Shwet Musali,546969.46
20.1,Plants Eligible for 30% Subsidy,Cinnamomum verum J.Presl.,"Dalchini, ",135648.43
20.2,Plants Eligible for 30% Subsidy,Cinnamomum tamala(Buch.-Ham.) T.Nees & C.H.Eberm.,"Tejpat, ",77761.87
20.3,Plants Eligible for 30% Subsidy,Cinnamomum camphora(L.) J. Presl,Kapoor,0
21,Plants Eligible for 30% Subsidy,Citrullus colocynthis Forsk,Indrayan,0
22,Plants Eligible for 30% Subsidy,Clerodendrum phlomoidis L.f,Arni,56270.04
23,Plants Eligible for 30% Subsidy,Clitoria ternatea Linn.,Aparajita,56270.04
24,Plants Eligible for 30% Subsidy,Coleus barbatus Benth.Syn. Coleus forskholii,Pather Chur,75262.99
25,Plants Eligible for 30% Subsidy,Coleus vettiveroides K.C. Jacob,Hrivera,0
26,Plants Eligible for 30% Subsidy,Convolvulus microphyllusChoisy,Shankhpushpi,58269.87
27,Plants Eligible for 30% Subsidy,Cryptolepis buchanani Roem & schult,Krsna sariva,74489.1
28,Plants Eligible for 30% Subsidy,Curcuma augustifoliaRoxb.,Tikhur,0
29,Plants Eligible for 30% Subsidy,Decalepis hamiltonii Wight & Arn.,Nannari ,0
30,Plants Eligible for 30% Subsidy,Digitalis purpurea Linn.,Foxglove,0
31,Plants Eligible for 30% Subsidy,Dioscorea bulbifera Linn.,"Rotalu, Gethi",109393.89
32,Plants Eligible for 30% Subsidy,Eclipta alba Hassk.,Bringaraj ,42180.83
33,Plants Eligible for 30% Subsidy,Embelia ribes Burm. f.,Vai Vidang,74387.84
34,Plants Eligible for 30% Subsidy,Emblica officinalis Gaertn.,Amla,113769.65
35,Plants Eligible for 30% Subsidy,Ephedra gerardiana Wall.,Somlata,0
36,Plants Eligible for 30% Subsidy,Garcinia indica Choisy,Kokum,109393.89
37,Plants Eligible for 30% Subsidy,Ginkgo bilobaLinn.,Ginkgo,0
38,Plants Eligible for 30% Subsidy,Gymnema sylvestre R. Br.,Gudmar,43757.55
