#,Name of the Plant,Family,Common Name,Herbarium Image and Uses
1,"
Abelmoschus esculentus (L.) Moench
",MALVACEAE,"Bhindi, Bhindi tori", 
2,"
Abelmoschus ficulneus (L.) Wight & Arn.
",MALVACEAE,Ran Bhendi,  
3,"
Abelmoschus manihot (L.) Medik.
",MALVACEAE,"Jangli Bhindi, Kantalo Bhendo (Guj.)",  
4,"
Abelmoschus moschatus Medik.
",MALVACEAE,"Muskdana, Kasturi dana",  
5,"
Abies spectabilis (D. Don) Spach.
",PINACEAE,"Talish patra, Gobra salla (Nepal)",  
6,"
Abroma agusta (L.) L.f.
",STERCULIACEAE,Ulatkambal,  
7,"
Abrus precatorius L.
",FABACEAE,"Ratti, Ghungchi",  
8,"
Abutilon hirtum (Lam.) Sweet
",MALVACEAE,Barakanghi,  
9,"
Abutilon indicum (L.) Sweet
",MALVACEAE,"Kanghi, Kakahi",  
10,"
Abutilon pannosum (Forst.) Schlect.
",MALVACEAE,Kakrai,  
11,"
Abutilon theophrastii Medik.
",MALVACEAE,Indian Mallow (Eng.),  
12,"
Acacia catechu (L.f.) Willd.
",MIMOSACEAE,Khair,  
13,"
Acacia farnesiana (L.) Willd.
",MIMOSACEAE,Vilayati kikar,  
14,"
Acacia jacquemontii Benth.
",MIMOSACEAE,"Kikar, Babul (Punjab)",  
15,"
Acacia leucophloea (Roxb.) Willd.
",MIMOSACEAE,"Safed kikar, Arimeda",  
16,"
Acacia modesta Wall.
",MIMOSACEAE,Phulai (Punjab),  
17,"
Acacia nilotica (L.) Willd. ex Delile
",MIMOSACEAE,"Kirkar, Babula",  
18,"
Acacia pennata (L.) Willd.
",MIMOSACEAE,"Aila, Biswal",  
19,"
Acacia rugata (Lam.) Merr.
",MIMOSACEAE,"Kochi, Ritha",  
20,"
Acacia senegal (L.) Willd.
",MIMOSACEAE,Goradio-babul (Guj.),  
21,"
Acacia torta (Roxb.) Craib
",MIMOSACEAE,Aila,  
22,"
Acalypha fruticosa Forsk.
",EUPHORBIACEAE,Chinniaka (Tel.),  
23,"
Acalypha indica L.
",EUPHORBIACEAE,"Kuppi, Khokli",  
24,"
Acalypha racemosa Wall. ex Bailley
",EUPHORBIACEAE,Valia-kuppameni (Finnish),  
25,"
Acampe papillosa (Lindl.) Lindl.
",ORCHIDACEAE,Alasyakampa (Tel.),  
26,"
Acanthus illicifolius L.
",ACANTHACEAE,Hargoza,  
27,"
Achillea millefolium L.
",ASTERACEAE,"Gandana, Roojamari (Kan.)",  
28,"
Achyranthes aspera L.
",AMARANTHACEAE,Latjira,  
29,"
Achyranthes bidentata Blume
",AMARANTHACEAE,Apamarga (Assam),  
30,"
Aconitum balfourii Stapf
",RANUNCULACEAE,Gobari (West Nepal),  
31,"
Aconitum bisma (Buch. -Ham.) Rapaics
",RANUNCULACEAE,Bikhima,  
32,"
Aconitum chasmanthum Holmes ex Stapf
",RANUNCULACEAE,"Bisha, Ban-bal-nag (Kashmir)",  
33,"
Aconitum falconeri Stapf
",RANUNCULACEAE,Bis (Gharwal),  
34,"
Aconitum heterophyllum Wall. ex Royle
",RANUNCULACEAE,Atis,  
35,"
Aconitum laciniatum (Bruhl) Stapf
",RANUNCULACEAE,Kalo bikhoma (Sikkim),  
36,"
Aconitum novoluridum Munz
",RANUNCULACEAE,Mahoor,  
37,"
Aconitum spicatum (Bruhl) Stapf
",RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim),  
38,"
Aconitum violaceum Jacq. Ex Stapf
",RANUNCULACEAE,Tilia Kachang (Sutlej Basin),  
39,"
Acorus calamus L.
",ARACEAE,"Bach, Gora-bach",  
40,"
Acronychia pedunculata (L.) Miq.
",RUTACEAE,Paowlay (Nepal),  
41,"
Actaea spicata L.
",RANUNCULACEAE,Vishaphala (Kan.),  
42,"
Actiniopteris radiata(Swartz) Link
",ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",  
43,"
Actinodaphne hookeri Meissn.
",LAURACEAE,Tudambo (Oriya),  
44,"
Adansonia digitata L.
",BOMBACACEAE,"Gorak, Amli",  
45,"
Adenanthera pavonia L.
",MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",  
46,"
Adenia wightiana (Wall. ex Wight & Arn.) Engl.
",PASSIFLORACEAE,Perumkorattaikodi (Tam.),  
47,"
Adenostemma lavenia (L.) Kuntze
",ASTERACEAE,Jangli-jira,  
48,"
Adiantum capillus-veneris L.
",ADIANTACEAE,"Hansraj, Mubaraka",  
